year,country_id,sex_id,age_group_id,count
1993,12,2,1,NULL
1994,12,2,1,NULL
1995,12,2,1,6.0
1996,12,2,1,NULL
1997,12,2,1,33.0
1998,12,2,1,NULL
1999,12,2,1,0.0
2000,12,2,1,1.0
2001,12,2,1,1.0
2002,12,2,1,0.0
2003,12,2,1,2.0
2004,12,2,1,0.0
2005,12,2,1,0.0
2006,12,2,1,2.0
2007,12,2,1,2.0
2008,12,2,1,NULL
1980,13,2,1,NULL
1981,13,2,1,NULL
1982,13,2,1,NULL
1983,13,2,1,NULL
1984,13,2,1,NULL
1985,13,2,1,NULL
1986,13,2,1,NULL
1987,13,2,1,NULL
1988,13,2,1,NULL
1989,13,2,1,NULL
1990,13,2,1,NULL
1991,13,2,1,NULL
1992,13,2,1,NULL
1993,13,2,1,NULL
1994,13,2,1,NULL
1995,13,2,1,NULL
1996,13,2,1,NULL
1997,13,2,1,0.0
1998,13,2,1,2.0
1999,13,2,1,0.0
2000,13,2,1,0.0
2001,13,2,1,1.0
2002,13,2,1,0.0
2003,13,2,1,0.0
2004,13,2,1,0.0
2005,13,2,1,2.0
2006,13,2,1,2.0
2007,13,2,1,4.0
2008,13,2,1,3.0
1980,14,2,1,NULL
1981,14,2,1,NULL
1982,14,2,1,NULL
1983,14,2,1,NULL
1984,14,2,1,NULL
1985,14,2,1,NULL
1986,14,2,1,NULL
1987,14,2,1,NULL
1988,14,2,1,NULL
1989,14,2,1,NULL
1990,14,2,1,NULL
1991,14,2,1,NULL
1992,14,2,1,NULL
1993,14,2,1,NULL
1994,14,2,1,NULL
1995,14,2,1,0.0
1996,14,2,1,5.0
1997,14,2,1,0.0
1998,14,2,1,0.0
1999,14,2,1,0.0
2000,14,2,1,0.0
2001,14,2,1,2.0
2002,14,2,1,5.0
2003,14,2,1,1.0
2004,14,2,1,8.0
2005,14,2,1,90.0
2006,14,2,1,2.0
2007,14,2,1,NULL
2008,14,2,1,NULL
1980,15,2,1,NULL
1981,15,2,1,NULL
1982,15,2,1,NULL
1983,15,2,1,NULL
1984,15,2,1,NULL
1985,15,2,1,NULL
1986,15,2,1,NULL
1987,15,2,1,NULL
1988,15,2,1,NULL
1989,15,2,1,NULL
1990,15,2,1,NULL
1991,15,2,1,NULL
1992,15,2,1,NULL
1993,15,2,1,NULL
1994,15,2,1,NULL
1995,15,2,1,0.0
1996,15,2,1,0.0
1997,15,2,1,11.0
1998,15,2,1,3.0
1999,15,2,1,6.0
2000,15,2,1,4.0
2001,15,2,1,7.0
2002,15,2,1,2.0
2003,15,2,1,4.0
2004,15,2,1,3.0
2005,15,2,1,2.0
2006,15,2,1,0.0
2007,15,2,1,0.0
2008,15,2,1,3.0
1980,16,2,1,NULL
1981,16,2,1,NULL
1982,16,2,1,NULL
1983,16,2,1,NULL
1984,16,2,1,NULL
1985,16,2,1,NULL
1986,16,2,1,NULL
1987,16,2,1,NULL
1988,16,2,1,NULL
1989,16,2,1,NULL
1990,16,2,1,NULL
1991,16,2,1,NULL
1992,16,2,1,NULL
1995,16,2,1,NULL
1996,16,2,1,NULL
1997,16,2,1,NULL
1998,16,2,1,NULL
1999,16,2,1,NULL
2000,16,2,1,0.0
2001,16,2,1,0.0
2002,16,2,1,NULL
2003,16,2,1,NULL
2004,16,2,1,1.0
2005,16,2,1,NULL
2006,16,2,1,NULL
2007,16,2,1,0.0
2008,16,2,1,0.0
1980,17,2,1,NULL
1981,17,2,1,NULL
1982,17,2,1,NULL
1983,17,2,1,NULL
1984,17,2,1,NULL
1985,17,2,1,NULL
1986,17,2,1,NULL
1987,17,2,1,NULL
1988,17,2,1,NULL
1989,17,2,1,NULL
1990,17,2,1,NULL
1991,17,2,1,NULL
1992,17,2,1,NULL
1993,17,2,1,NULL
1994,17,2,1,NULL
1995,17,2,1,64.0
1996,17,2,1,89.0
1997,17,2,1,328.0
1998,17,2,1,438.0
1999,17,2,1,405.0
2000,17,2,1,495.0
2001,17,2,1,428.0
2002,17,2,1,575.0
2003,17,2,1,544.0
2004,17,2,1,589.0
2005,17,2,1,751.0
2006,17,2,1,850.0
2007,17,2,1,829.0
2008,17,2,1,764.0
1980,18,2,1,NULL
1981,18,2,1,NULL
1982,18,2,1,NULL
1983,18,2,1,NULL
1984,18,2,1,NULL
1985,18,2,1,NULL
1986,18,2,1,NULL
1987,18,2,1,NULL
1988,18,2,1,NULL
1989,18,2,1,NULL
1990,18,2,1,NULL
1991,18,2,1,NULL
1992,18,2,1,NULL
1993,18,2,1,NULL
1994,18,2,1,NULL
1995,18,2,1,3.0
1996,18,2,1,4.0
1997,18,2,1,2.0
1998,18,2,1,2.0
1999,18,2,1,4.0
2000,18,2,1,6.0
2001,18,2,1,6.0
2002,18,2,1,6.0
2003,18,2,1,5.0
2004,18,2,1,6.0
2005,18,2,1,2.0
2006,18,2,1,6.0
2007,18,2,1,4.0
2008,18,2,1,3.0
1980,19,2,1,NULL
1981,19,2,1,NULL
1982,19,2,1,NULL
1983,19,2,1,NULL
1984,19,2,1,NULL
1985,19,2,1,NULL
1986,19,2,1,NULL
1987,19,2,1,NULL
1988,19,2,1,NULL
1989,19,2,1,NULL
1990,19,2,1,NULL
1991,19,2,1,NULL
1993,19,2,1,NULL
1994,19,2,1,NULL
1995,19,2,1,7.0
1996,19,2,1,10.0
1997,19,2,1,10.0
1998,19,2,1,9.0
1999,19,2,1,8.0
2000,19,2,1,7.0
2001,19,2,1,17.0
2002,19,2,1,12.0
2003,19,2,1,19.0
2004,19,2,1,22.0
2005,19,2,1,15.0
2006,19,2,1,33.0
2007,19,2,1,29.0
2008,19,2,1,33.0
1980,20,2,1,NULL
1981,20,2,1,NULL
1982,20,2,1,NULL
1983,20,2,1,NULL
1984,20,2,1,NULL
1985,20,2,1,NULL
1986,20,2,1,NULL
1987,20,2,1,NULL
1988,20,2,1,NULL
1989,20,2,1,NULL
1990,20,2,1,NULL
1991,20,2,1,NULL
1992,20,2,1,NULL
1993,20,2,1,NULL
1994,20,2,1,NULL
1995,20,2,1,NULL
1996,20,2,1,NULL
1997,20,2,1,NULL
1998,20,2,1,NULL
1999,20,2,1,NULL
2000,20,2,1,0.0
2001,20,2,1,1.0
2002,20,2,1,6.0
2003,20,2,1,7.0
2004,20,2,1,4.0
2005,20,2,1,9.0
2006,20,2,1,12.0
2007,20,2,1,4.0
2008,20,2,1,1.0
1980,21,2,1,NULL
1981,21,2,1,NULL
1982,21,2,1,NULL
1983,21,2,1,NULL
1984,21,2,1,NULL
1985,21,2,1,NULL
1986,21,2,1,NULL
1987,21,2,1,NULL
1988,21,2,1,NULL
1989,21,2,1,NULL
1990,21,2,1,NULL
1991,21,2,1,NULL
1992,21,2,1,NULL
1993,21,2,1,NULL
1995,21,2,1,0.0
1996,21,2,1,1.0
1997,21,2,1,0.0
1998,21,2,1,3.0
1999,21,2,1,0.0
2000,21,2,1,0.0
2001,21,2,1,0.0
2002,21,2,1,0.0
2003,21,2,1,0.0
2004,21,2,1,0.0
2005,21,2,1,1.0
2006,21,2,1,0.0
2007,21,2,1,1.0
2008,21,2,1,0.0
1980,22,2,1,NULL
1981,22,2,1,NULL
1982,22,2,1,NULL
1983,22,2,1,NULL
1984,22,2,1,NULL
1985,22,2,1,NULL
1986,22,2,1,NULL
1987,22,2,1,NULL
1988,22,2,1,NULL
1989,22,2,1,NULL
1990,22,2,1,NULL
1991,22,2,1,NULL
1992,22,2,1,NULL
1993,22,2,1,NULL
1994,22,2,1,NULL
1995,22,2,1,19.0
1996,22,2,1,18.0
1997,22,2,1,30.0
1998,22,2,1,49.0
1999,22,2,1,66.0
2000,22,2,1,NULL
2001,22,2,1,81.0
2002,22,2,1,48.0
2003,22,2,1,75.0
2004,22,2,1,51.0
2005,22,2,1,46.0
2006,22,2,1,41.0
2007,22,2,1,55.0
2008,22,2,1,38.0
1980,23,2,1,NULL
1981,23,2,1,NULL
1982,23,2,1,NULL
1983,23,2,1,NULL
1984,23,2,1,NULL
1985,23,2,1,NULL
1986,23,2,1,NULL
1987,23,2,1,NULL
1988,23,2,1,NULL
1989,23,2,1,NULL
1990,23,2,1,NULL
1991,23,2,1,NULL
1992,23,2,1,NULL
1993,23,2,1,NULL
1994,23,2,1,NULL
1995,23,2,1,26.0
1996,23,2,1,34.0
1997,23,2,1,26.0
1998,23,2,1,15.0
1999,23,2,1,28.0
2000,23,2,1,36.0
2001,23,2,1,NULL
2002,23,2,1,35.0
2003,23,2,1,32.0
2004,23,2,1,43.0
2005,23,2,1,25.0
2006,23,2,1,32.0
2007,23,2,1,NULL
2008,23,2,1,38.0
1980,24,2,1,NULL
1981,24,2,1,NULL
1982,24,2,1,NULL
1983,24,2,1,NULL
1984,24,2,1,NULL
1985,24,2,1,NULL
1986,24,2,1,NULL
1987,24,2,1,NULL
1988,24,2,1,NULL
1989,24,2,1,NULL
1990,24,2,1,NULL
1991,24,2,1,NULL
1992,24,2,1,NULL
1995,24,2,1,NULL
1996,24,2,1,NULL
1997,24,2,1,NULL
1998,24,2,1,NULL
1999,24,2,1,NULL
2000,24,2,1,NULL
2001,24,2,1,NULL
2002,24,2,1,NULL
2003,24,2,1,NULL
2004,24,2,1,0.0
2005,24,2,1,NULL
2006,24,2,1,NULL
2007,24,2,1,NULL
2008,24,2,1,NULL
1980,25,2,1,NULL
1981,25,2,1,NULL
1982,25,2,1,NULL
1983,25,2,1,NULL
1984,25,2,1,NULL
1985,25,2,1,NULL
1986,25,2,1,NULL
1987,25,2,1,NULL
1988,25,2,1,NULL
1989,25,2,1,NULL
1990,25,2,1,NULL
1992,25,2,1,NULL
1993,25,2,1,NULL
1997,25,2,1,NULL
1998,25,2,1,NULL
1999,25,2,1,1.0
2000,25,2,1,0.0
2001,25,2,1,NULL
2002,25,2,1,0.0
2003,25,2,1,0.0
2004,25,2,1,0.0
2005,25,2,1,0.0
2006,25,2,1,1.0
2007,25,2,1,0.0
2008,25,2,1,1.0
1980,26,2,1,NULL
1981,26,2,1,NULL
1982,26,2,1,NULL
1983,26,2,1,NULL
1984,26,2,1,NULL
1985,26,2,1,NULL
1986,26,2,1,NULL
1987,26,2,1,NULL
1988,26,2,1,NULL
1989,26,2,1,NULL
1990,26,2,1,NULL
1991,26,2,1,NULL
1992,26,2,1,NULL
1993,26,2,1,NULL
1994,26,2,1,NULL
1995,26,2,1,NULL
1996,26,2,1,172.0
1997,26,2,1,202.0
1998,26,2,1,202.0
1999,26,2,1,225.0
2000,26,2,1,191.0
2001,26,2,1,241.0
2002,26,2,1,281.0
2003,26,2,1,167.0
2004,26,2,1,151.0
2005,26,2,1,160.0
2006,26,2,1,179.0
2007,26,2,1,125.0
2008,26,2,1,147.0
1980,27,2,1,NULL
1981,27,2,1,NULL
1982,27,2,1,NULL
1983,27,2,1,NULL
1984,27,2,1,NULL
1985,27,2,1,NULL
1986,27,2,1,NULL
1987,27,2,1,NULL
1988,27,2,1,NULL
1989,27,2,1,NULL
1990,27,2,1,NULL
1991,27,2,1,NULL
1992,27,2,1,NULL
1994,27,2,1,NULL
1995,27,2,1,NULL
1996,27,2,1,NULL
1997,27,2,1,NULL
1998,27,2,1,NULL
1999,27,2,1,372.0
2000,27,2,1,1859.0
2001,27,2,1,516.0
2002,27,2,1,380.0
2003,27,2,1,401.0
2004,27,2,1,375.0
2005,27,2,1,355.0
2006,27,2,1,343.0
2007,27,2,1,344.0
2008,27,2,1,356.0
1980,28,2,1,NULL
1981,28,2,1,NULL
1982,28,2,1,NULL
1983,28,2,1,NULL
1984,28,2,1,NULL
1985,28,2,1,NULL
1986,28,2,1,NULL
1987,28,2,1,NULL
1988,28,2,1,NULL
1989,28,2,1,NULL
1990,28,2,1,NULL
1991,28,2,1,NULL
1992,28,2,1,NULL
1993,28,2,1,NULL
1994,28,2,1,NULL
1995,28,2,1,0.0
1996,28,2,1,0.0
1997,28,2,1,0.0
1998,28,2,1,1.0
1999,28,2,1,0.0
2000,28,2,1,2.0
2001,28,2,1,NULL
2002,28,2,1,4.0
2003,28,2,1,2.0
2004,28,2,1,0.0
2006,28,2,1,NULL
2007,28,2,1,0.0
2008,28,2,1,0.0
1980,29,2,1,NULL
1981,29,2,1,NULL
1982,29,2,1,NULL
1983,29,2,1,NULL
1984,29,2,1,NULL
1985,29,2,1,NULL
1986,29,2,1,NULL
1987,29,2,1,NULL
1988,29,2,1,NULL
1989,29,2,1,NULL
1990,29,2,1,NULL
1991,29,2,1,NULL
1992,29,2,1,NULL
1993,29,2,1,NULL
1994,29,2,1,NULL
1995,29,2,1,12.0
1996,29,2,1,8.0
1997,29,2,1,4.0
1998,29,2,1,7.0
1999,29,2,1,9.0
2000,29,2,1,7.0
2001,29,2,1,6.0
2002,29,2,1,6.0
2003,29,2,1,14.0
2004,29,2,1,8.0
2005,29,2,1,9.0
2006,29,2,1,5.0
2007,29,2,1,3.0
2008,29,2,1,9.0
1980,30,2,1,NULL
1981,30,2,1,NULL
1982,30,2,1,NULL
1983,30,2,1,NULL
1984,30,2,1,NULL
1985,30,2,1,NULL
1986,30,2,1,NULL
1987,30,2,1,NULL
1988,30,2,1,NULL
1989,30,2,1,NULL
1990,30,2,1,NULL
1991,30,2,1,NULL
1992,30,2,1,NULL
1993,30,2,1,NULL
1994,30,2,1,NULL
1995,30,2,1,NULL
1996,30,2,1,NULL
1997,30,2,1,28.0
1998,30,2,1,NULL
1999,30,2,1,46.0
2000,30,2,1,37.0
2001,30,2,1,33.0
2002,30,2,1,45.0
2003,30,2,1,32.0
2004,30,2,1,49.0
2005,30,2,1,45.0
2006,30,2,1,54.0
2007,30,2,1,46.0
2008,30,2,1,42.0
1980,31,2,1,NULL
1981,31,2,1,NULL
1982,31,2,1,NULL
1983,31,2,1,NULL
1984,31,2,1,NULL
1985,31,2,1,NULL
1986,31,2,1,NULL
1987,31,2,1,NULL
1988,31,2,1,NULL
1989,31,2,1,NULL
1990,31,2,1,NULL
1991,31,2,1,NULL
1992,31,2,1,NULL
1993,31,2,1,NULL
1994,31,2,1,NULL
1995,31,2,1,NULL
1996,31,2,1,NULL
1997,31,2,1,NULL
1998,31,2,1,NULL
1999,31,2,1,NULL
2000,31,2,1,NULL
2001,31,2,1,4.0
2002,31,2,1,0.0
2003,31,2,1,0.0
2004,31,2,1,1.0
2005,31,2,1,NULL
2006,31,2,1,1.0
2007,31,2,1,NULL
2008,31,2,1,NULL
1980,32,2,1,NULL
1981,32,2,1,NULL
1982,32,2,1,NULL
1983,32,2,1,NULL
1984,32,2,1,NULL
1985,32,2,1,NULL
1986,32,2,1,NULL
1987,32,2,1,NULL
1988,32,2,1,NULL
1989,32,2,1,NULL
1990,32,2,1,NULL
1991,32,2,1,NULL
1992,32,2,1,NULL
1993,32,2,1,NULL
1994,32,2,1,NULL
1995,32,2,1,0.0
1996,32,2,1,0.0
1997,32,2,1,2.0
1998,32,2,1,NULL
1999,32,2,1,NULL
2000,32,2,1,0.0
2001,32,2,1,0.0
2002,32,2,1,3.0
2003,32,2,1,2.0
2004,32,2,1,1.0
2005,32,2,1,0.0
2006,32,2,1,2.0
2007,32,2,1,0.0
2008,32,2,1,0.0
1980,33,2,1,18.0
1981,33,2,1,6.0
1982,33,2,1,7.0
1983,33,2,1,11.0
1984,33,2,1,9.0
1985,33,2,1,5.0
1986,33,2,1,10.0
1987,33,2,1,8.0
1988,33,2,1,6.0
1989,33,2,1,6.0
1990,33,2,1,1.0
1991,33,2,1,4.0
1992,33,2,1,2.0
1993,33,2,1,6.0
1994,33,2,1,3.0
1995,33,2,1,7.0
1996,33,2,1,2.0
1997,33,2,1,1.0
1998,33,2,1,1.0
1999,33,2,1,4.0
2000,33,2,1,4.0
2001,33,2,1,5.0
2002,33,2,1,6.0
2003,33,2,1,3.0
2004,33,2,1,0.0
2005,33,2,1,6.0
2006,33,2,1,4.0
2007,33,2,1,2.0
2008,33,2,1,3.0
1980,34,2,1,NULL
1981,34,2,1,NULL
1982,34,2,1,NULL
1983,34,2,1,NULL
1984,34,2,1,NULL
1985,34,2,1,NULL
1986,34,2,1,NULL
1987,34,2,1,NULL
1988,34,2,1,NULL
1989,34,2,1,NULL
1990,34,2,1,NULL
1991,34,2,1,NULL
1992,34,2,1,NULL
1993,34,2,1,NULL
1994,34,2,1,NULL
1995,34,2,1,331.0
1996,34,2,1,292.0
1997,34,2,1,321.0
1998,34,2,1,651.0
1999,34,2,1,708.0
2000,34,2,1,718.0
2001,34,2,1,842.0
2002,34,2,1,874.0
2003,34,2,1,1233.0
2004,34,2,1,1679.0
2005,34,2,1,1695.0
2006,34,2,1,1517.0
2007,34,2,1,1842.0
2008,34,2,1,1828.0
1980,35,2,1,NULL
1981,35,2,1,NULL
1982,35,2,1,NULL
1983,35,2,1,NULL
1984,35,2,1,NULL
1985,35,2,1,NULL
1986,35,2,1,NULL
1987,35,2,1,NULL
1988,35,2,1,NULL
1989,35,2,1,NULL
1990,35,2,1,NULL
1991,35,2,1,NULL
1995,35,2,1,39.0
1996,35,2,1,52.0
1997,35,2,1,53.0
1998,35,2,1,67.0
1999,35,2,1,72.0
2000,35,2,1,NULL
2001,35,2,1,25.0
2002,35,2,1,66.0
2003,35,2,1,NULL
2004,35,2,1,14.0
2005,35,2,1,30.0
2006,35,2,1,52.0
2007,35,2,1,NULL
2008,35,2,1,102.0
1980,36,2,1,NULL
1981,36,2,1,NULL
1982,36,2,1,NULL
1983,36,2,1,NULL
1984,36,2,1,NULL
1985,36,2,1,NULL
1986,36,2,1,NULL
1987,36,2,1,NULL
1988,36,2,1,NULL
1989,36,2,1,NULL
1990,36,2,1,NULL
1991,36,2,1,NULL
1992,36,2,1,NULL
1993,36,2,1,NULL
1994,36,2,1,NULL
1995,36,2,1,17.0
1996,36,2,1,NULL
1997,36,2,1,NULL
1998,36,2,1,NULL
1999,36,2,1,25.0
2000,36,2,1,NULL
2001,36,2,1,53.0
2002,36,2,1,NULL
2003,36,2,1,NULL
2004,36,2,1,38.0
2005,36,2,1,NULL
2006,36,2,1,44.0
2007,36,2,1,45.0
2008,36,2,1,56.0
1980,37,2,1,NULL
1981,37,2,1,NULL
1982,37,2,1,NULL
1983,37,2,1,NULL
1984,37,2,1,NULL
1985,37,2,1,NULL
1986,37,2,1,NULL
1987,37,2,1,NULL
1988,37,2,1,NULL
1989,37,2,1,NULL
1990,37,2,1,NULL
1991,37,2,1,NULL
1992,37,2,1,NULL
1993,37,2,1,NULL
1994,37,2,1,NULL
1995,37,2,1,1.0
1996,37,2,1,0.0
1997,37,2,1,0.0
1998,37,2,1,1.0
1999,37,2,1,0.0
2000,37,2,1,1.0
2001,37,2,1,0.0
2002,37,2,1,0.0
2003,37,2,1,1.0
2004,37,2,1,0.0
2005,37,2,1,0.0
2006,37,2,1,1.0
2007,37,2,1,1.0
2008,37,2,1,1.0
1980,38,2,1,NULL
1981,38,2,1,NULL
1982,38,2,1,NULL
1983,38,2,1,NULL
1984,38,2,1,NULL
1985,38,2,1,NULL
1986,38,2,1,NULL
1987,38,2,1,NULL
1988,38,2,1,NULL
1989,38,2,1,NULL
1990,38,2,1,NULL
1991,38,2,1,NULL
1992,38,2,1,NULL
1993,38,2,1,NULL
1994,38,2,1,NULL
1995,38,2,1,99.0
1996,38,2,1,139.0
1997,38,2,1,118.0
1998,38,2,1,104.0
1999,38,2,1,132.0
2000,38,2,1,NULL
2001,38,2,1,127.0
2002,38,2,1,135.0
2003,38,2,1,154.0
2004,38,2,1,160.0
2005,38,2,1,193.0
2006,38,2,1,191.0
2007,38,2,1,225.0
2008,38,2,1,277.0
1980,39,2,1,0.0
1981,39,2,1,0.0
1982,39,2,1,0.0
1983,39,2,1,0.0
1984,39,2,1,0.0
1985,39,2,1,0.0
1986,39,2,1,1.0
1987,39,2,1,1.0
1988,39,2,1,NULL
1989,39,2,1,1.0
1990,39,2,1,NULL
1991,39,2,1,0.0
1992,39,2,1,0.0
1993,39,2,1,0.0
1994,39,2,1,1.0
1995,39,2,1,0.0
1996,39,2,1,0.0
1997,39,2,1,0.0
1998,39,2,1,0.0
1999,39,2,1,NULL
2000,39,2,1,0.0
2001,39,2,1,0.0
2002,39,2,1,0.0
2003,39,2,1,0.0
2004,39,2,1,0.0
2005,39,2,1,0.0
2006,39,2,1,0.0
2007,39,2,1,NULL
2008,39,2,1,NULL
1980,40,2,1,NULL
1981,40,2,1,NULL
