,country,year,value,sex,age_group
255,AS,1990,,f,0-14
256,AS,1991,,f,0-14
257,AS,1992,,f,0-14
258,AS,1993,,f,0-14
259,AS,1994,,f,0-14
260,AS,1995,,f,0-14
261,AS,1996,,f,0-14
262,AS,1997,0.0,f,0-14
263,AS,1998,,f,0-14
264,AS,1999,,f,0-14
265,AS,2000,,f,0-14
266,AS,2001,,f,0-14
267,AS,2002,,f,0-14
268,AS,2003,,f,0-14
269,AS,2004,,f,0-14
270,AS,2005,,f,0-14
271,AS,2006,,f,0-14
272,AS,2007,,f,0-14
273,AS,2008,,f,0-14
274,AT,1980,,f,0-14
275,AT,1981,,f,0-14
276,AT,1982,,f,0-14
277,AT,1983,,f,0-14
278,AT,1984,,f,0-14
279,AT,1985,,f,0-14
280,AT,1986,,f,0-14
281,AT,1987,,f,0-14
282,AT,1988,,f,0-14
283,AT,1989,,f,0-14
284,AT,1990,,f,0-14
285,AT,1991,,f,0-14
286,AT,1992,,f,0-14
287,AT,1993,,f,0-14
288,AT,1994,,f,0-14
289,AT,1995,6.0,f,0-14
290,AT,1996,,f,0-14
291,AT,1997,33.0,f,0-14
292,AT,1998,,f,0-14
293,AT,1999,0.0,f,0-14
294,AT,2000,1.0,f,0-14
295,AT,2001,1.0,f,0-14
296,AT,2002,0.0,f,0-14
297,AT,2003,2.0,f,0-14
298,AT,2004,0.0,f,0-14
299,AT,2005,0.0,f,0-14
300,AT,2006,2.0,f,0-14
301,AT,2007,2.0,f,0-14
302,AT,2008,,f,0-14
303,AU,1980,,f,0-14
304,AU,1981,,f,0-14
305,AU,1982,,f,0-14
306,AU,1983,,f,0-14
307,AU,1984,,f,0-14
308,AU,1985,,f,0-14
309,AU,1986,,f,0-14
310,AU,1987,,f,0-14
311,AU,1988,,f,0-14
312,AU,1989,,f,0-14
313,AU,1990,,f,0-14
314,AU,1991,,f,0-14
315,AU,1992,,f,0-14
316,AU,1993,,f,0-14
317,AU,1994,,f,0-14
318,AU,1995,,f,0-14
319,AU,1996,,f,0-14
320,AU,1997,0.0,f,0-14
321,AU,1998,2.0,f,0-14
322,AU,1999,0.0,f,0-14
323,AU,2000,0.0,f,0-14
324,AU,2001,1.0,f,0-14
325,AU,2002,0.0,f,0-14
326,AU,2003,0.0,f,0-14
327,AU,2004,0.0,f,0-14
328,AU,2005,2.0,f,0-14
329,AU,2006,2.0,f,0-14
330,AU,2007,4.0,f,0-14
331,AU,2008,3.0,f,0-14
332,AZ,1980,,f,0-14
333,AZ,1981,,f,0-14
334,AZ,1982,,f,0-14
335,AZ,1983,,f,0-14
336,AZ,1984,,f,0-14
337,AZ,1985,,f,0-14
338,AZ,1986,,f,0-14
339,AZ,1987,,f,0-14
340,AZ,1988,,f,0-14
341,AZ,1989,,f,0-14
342,AZ,1990,,f,0-14
343,AZ,1991,,f,0-14
344,AZ,1992,,f,0-14
345,AZ,1993,,f,0-14
346,AZ,1994,,f,0-14
347,AZ,1995,0.0,f,0-14
348,AZ,1996,5.0,f,0-14
349,AZ,1997,0.0,f,0-14
350,AZ,1998,0.0,f,0-14
351,AZ,1999,0.0,f,0-14
352,AZ,2000,0.0,f,0-14
353,AZ,2001,2.0,f,0-14
354,AZ,2002,5.0,f,0-14
355,AZ,2003,1.0,f,0-14
356,AZ,2004,8.0,f,0-14
357,AZ,2005,90.0,f,0-14
358,AZ,2006,2.0,f,0-14
359,AZ,2007,,f,0-14
360,AZ,2008,,f,0-14
361,BA,1980,,f,0-14
362,BA,1981,,f,0-14
363,BA,1982,,f,0-14
364,BA,1983,,f,0-14
365,BA,1984,,f,0-14
366,BA,1985,,f,0-14
367,BA,1986,,f,0-14
368,BA,1987,,f,0-14
369,BA,1988,,f,0-14
370,BA,1989,,f,0-14
371,BA,1990,,f,0-14
372,BA,1991,,f,0-14
373,BA,1992,,f,0-14
374,BA,1993,,f,0-14
375,BA,1994,,f,0-14
376,BA,1995,0.0,f,0-14
377,BA,1996,0.0,f,0-14
378,BA,1997,11.0,f,0-14
379,BA,1998,3.0,f,0-14
380,BA,1999,6.0,f,0-14
381,BA,2000,4.0,f,0-14
382,BA,2001,7.0,f,0-14
383,BA,2002,2.0,f,0-14
384,BA,2003,4.0,f,0-14
385,BA,2004,3.0,f,0-14
386,BA,2005,2.0,f,0-14
387,BA,2006,0.0,f,0-14
388,BA,2007,0.0,f,0-14
389,BA,2008,3.0,f,0-14
390,BB,1980,,f,0-14
391,BB,1981,,f,0-14
392,BB,1982,,f,0-14
393,BB,1983,,f,0-14
394,BB,1984,,f,0-14
395,BB,1985,,f,0-14
396,BB,1986,,f,0-14
397,BB,1987,,f,0-14
398,BB,1988,,f,0-14
399,BB,1989,,f,0-14
400,BB,1990,,f,0-14
401,BB,1991,,f,0-14
402,BB,1992,,f,0-14
403,BB,1995,,f,0-14
404,BB,1996,,f,0-14
405,BB,1997,,f,0-14
406,BB,1998,,f,0-14
407,BB,1999,,f,0-14
408,BB,2000,0.0,f,0-14
409,BB,2001,0.0,f,0-14
410,BB,2002,,f,0-14
411,BB,2003,,f,0-14
412,BB,2004,1.0,f,0-14
413,BB,2005,,f,0-14
414,BB,2006,,f,0-14
415,BB,2007,0.0,f,0-14
416,BB,2008,0.0,f,0-14
417,BD,1980,,f,0-14
418,BD,1981,,f,0-14
419,BD,1982,,f,0-14
420,BD,1983,,f,0-14
421,BD,1984,,f,0-14
422,BD,1985,,f,0-14
423,BD,1986,,f,0-14
424,BD,1987,,f,0-14
425,BD,1988,,f,0-14
426,BD,1989,,f,0-14
427,BD,1990,,f,0-14
428,BD,1991,,f,0-14
429,BD,1992,,f,0-14
430,BD,1993,,f,0-14
431,BD,1994,,f,0-14
432,BD,1995,64.0,f,0-14
433,BD,1996,89.0,f,0-14
434,BD,1997,328.0,f,0-14
435,BD,1998,438.0,f,0-14
436,BD,1999,405.0,f,0-14
437,BD,2000,495.0,f,0-14
438,BD,2001,428.0,f,0-14
439,BD,2002,575.0,f,0-14
440,BD,2003,544.0,f,0-14
441,BD,2004,589.0,f,0-14
442,BD,2005,751.0,f,0-14
443,BD,2006,850.0,f,0-14
444,BD,2007,829.0,f,0-14
445,BD,2008,764.0,f,0-14
446,BE,1980,,f,0-14
447,BE,1981,,f,0-14
448,BE,1982,,f,0-14
449,BE,1983,,f,0-14
450,BE,1984,,f,0-14
451,BE,1985,,f,0-14
452,BE,1986,,f,0-14
453,BE,1987,,f,0-14
454,BE,1988,,f,0-14
455,BE,1989,,f,0-14
456,BE,1990,,f,0-14
457,BE,1991,,f,0-14
458,BE,1992,,f,0-14
459,BE,1993,,f,0-14
460,BE,1994,,f,0-14
461,BE,1995,3.0,f,0-14
462,BE,1996,4.0,f,0-14
463,BE,1997,2.0,f,0-14
464,BE,1998,2.0,f,0-14
465,BE,1999,4.0,f,0-14
466,BE,2000,6.0,f,0-14
467,BE,2001,6.0,f,0-14
468,BE,2002,6.0,f,0-14
469,BE,2003,5.0,f,0-14
470,BE,2004,6.0,f,0-14
471,BE,2005,2.0,f,0-14
472,BE,2006,6.0,f,0-14
473,BE,2007,4.0,f,0-14
474,BE,2008,3.0,f,0-14
475,BF,1980,,f,0-14
476,BF,1981,,f,0-14
477,BF,1982,,f,0-14
478,BF,1983,,f,0-14
479,BF,1984,,f,0-14
480,BF,1985,,f,0-14
481,BF,1986,,f,0-14
482,BF,1987,,f,0-14
483,BF,1988,,f,0-14
484,BF,1989,,f,0-14
485,BF,1990,,f,0-14
486,BF,1991,,f,0-14
487,BF,1993,,f,0-14
488,BF,1994,,f,0-14
489,BF,1995,7.0,f,0-14
490,BF,1996,10.0,f,0-14
491,BF,1997,10.0,f,0-14
492,BF,1998,9.0,f,0-14
493,BF,1999,8.0,f,0-14
494,BF,2000,7.0,f,0-14
495,BF,2001,17.0,f,0-14
496,BF,2002,12.0,f,0-14
497,BF,2003,19.0,f,0-14
498,BF,2004,22.0,f,0-14
499,BF,2005,15.0,f,0-14
500,BF,2006,33.0,f,0-14
501,BF,2007,29.0,f,0-14
502,BF,2008,33.0,f,0-14
503,BG,1980,,f,0-14
504,BG,1981,,f,0-14
505,BG,1982,,f,0-14
506,BG,1983,,f,0-14
507,BG,1984,,f,0-14
508,BG,1985,,f,0-14
509,BG,1986,,f,0-14
510,BG,1987,,f,0-14
511,BG,1988,,f,0-14
512,BG,1989,,f,0-14
513,BG,1990,,f,0-14
514,BG,1991,,f,0-14
515,BG,1992,,f,0-14
516,BG,1993,,f,0-14
517,BG,1994,,f,0-14
518,BG,1995,,f,0-14
519,BG,1996,,f,0-14
520,BG,1997,,f,0-14
521,BG,1998,,f,0-14
522,BG,1999,,f,0-14
523,BG,2000,0.0,f,0-14
524,BG,2001,1.0,f,0-14
525,BG,2002,6.0,f,0-14
526,BG,2003,7.0,f,0-14
527,BG,2004,4.0,f,0-14
528,BG,2005,9.0,f,0-14
529,BG,2006,12.0,f,0-14
530,BG,2007,4.0,f,0-14
531,BG,2008,1.0,f,0-14
532,BH,1980,,f,0-14
533,BH,1981,,f,0-14
534,BH,1982,,f,0-14
535,BH,1983,,f,0-14
536,BH,1984,,f,0-14
537,BH,1985,,f,0-14
538,BH,1986,,f,0-14
539,BH,1987,,f,0-14
540,BH,1988,,f,0-14
541,BH,1989,,f,0-14
542,BH,1990,,f,0-14
543,BH,1991,,f,0-14
544,BH,1992,,f,0-14
545,BH,1993,,f,0-14
546,BH,1995,0.0,f,0-14
547,BH,1996,1.0,f,0-14
548,BH,1997,0.0,f,0-14
549,BH,1998,3.0,f,0-14
550,BH,1999,0.0,f,0-14
551,BH,2000,0.0,f,0-14
552,BH,2001,0.0,f,0-14
553,BH,2002,0.0,f,0-14
554,BH,2003,0.0,f,0-14
555,BH,2004,0.0,f,0-14
556,BH,2005,1.0,f,0-14
557,BH,2006,0.0,f,0-14
558,BH,2007,1.0,f,0-14
559,BH,2008,0.0,f,0-14
560,BI,1980,,f,0-14
561,BI,1981,,f,0-14
562,BI,1982,,f,0-14
563,BI,1983,,f,0-14
564,BI,1984,,f,0-14
565,BI,1985,,f,0-14
566,BI,1986,,f,0-14
567,BI,1987,,f,0-14
568,BI,1988,,f,0-14
569,BI,1989,,f,0-14
570,BI,1990,,f,0-14
571,BI,1991,,f,0-14
572,BI,1992,,f,0-14
573,BI,1993,,f,0-14
574,BI,1994,,f,0-14
575,BI,1995,19.0,f,0-14
576,BI,1996,18.0,f,0-14
577,BI,1997,30.0,f,0-14
578,BI,1998,49.0,f,0-14
579,BI,1999,66.0,f,0-14
580,BI,2000,,f,0-14
581,BI,2001,81.0,f,0-14
582,BI,2002,48.0,f,0-14
583,BI,2003,75.0,f,0-14
584,BI,2004,51.0,f,0-14
585,BI,2005,46.0,f,0-14
586,BI,2006,41.0,f,0-14
587,BI,2007,55.0,f,0-14
588,BI,2008,38.0,f,0-14
589,BJ,1980,,f,0-14
590,BJ,1981,,f,0-14
591,BJ,1982,,f,0-14
592,BJ,1983,,f,0-14
593,BJ,1984,,f,0-14
594,BJ,1985,,f,0-14
595,BJ,1986,,f,0-14
596,BJ,1987,,f,0-14
597,BJ,1988,,f,0-14
598,BJ,1989,,f,0-14
599,BJ,1990,,f,0-14
600,BJ,1991,,f,0-14
601,BJ,1992,,f,0-14
602,BJ,1993,,f,0-14
603,BJ,1994,,f,0-14
604,BJ,1995,26.0,f,0-14
605,BJ,1996,34.0,f,0-14
606,BJ,1997,26.0,f,0-14
607,BJ,1998,15.0,f,0-14
608,BJ,1999,28.0,f,0-14
609,BJ,2000,36.0,f,0-14
610,BJ,2001,,f,0-14
611,BJ,2002,35.0,f,0-14
612,BJ,2003,32.0,f,0-14
613,BJ,2004,43.0,f,0-14
614,BJ,2005,25.0,f,0-14
615,BJ,2006,32.0,f,0-14
616,BJ,2007,,f,0-14
617,BJ,2008,38.0,f,0-14
618,BM,1980,,f,0-14
619,BM,1981,,f,0-14
620,BM,1982,,f,0-14
621,BM,1983,,f,0-14
622,BM,1984,,f,0-14
623,BM,1985,,f,0-14
624,BM,1986,,f,0-14
625,BM,1987,,f,0-14
626,BM,1988,,f,0-14
627,BM,1989,,f,0-14
628,BM,1990,,f,0-14
629,BM,1991,,f,0-14
630,BM,1992,,f,0-14
631,BM,1995,,f,0-14
632,BM,1996,,f,0-14
633,BM,1997,,f,0-14
634,BM,1998,,f,0-14
635,BM,1999,,f,0-14
636,BM,2000,,f,0-14
637,BM,2001,,f,0-14
638,BM,2002,,f,0-14
639,BM,2003,,f,0-14
640,BM,2004,0.0,f,0-14
641,BM,2005,,f,0-14
642,BM,2006,,f,0-14
643,BM,2007,,f,0-14
644,BM,2008,,f,0-14
645,BN,1980,,f,0-14
646,BN,1981,,f,0-14
647,BN,1982,,f,0-14
648,BN,1983,,f,0-14
649,BN,1984,,f,0-14
650,BN,1985,,f,0-14
651,BN,1986,,f,0-14
652,BN,1987,,f,0-14
653,BN,1988,,f,0-14
654,BN,1989,,f,0-14
655,BN,1990,,f,0-14
656,BN,1992,,f,0-14
657,BN,1993,,f,0-14
658,BN,1997,,f,0-14
659,BN,1998,,f,0-14
660,BN,1999,1.0,f,0-14
661,BN,2000,0.0,f,0-14
662,BN,2001,,f,0-14
663,BN,2002,0.0,f,0-14
664,BN,2003,0.0,f,0-14
665,BN,2004,0.0,f,0-14
666,BN,2005,0.0,f,0-14
667,BN,2006,1.0,f,0-14
668,BN,2007,0.0,f,0-14
669,BN,2008,1.0,f,0-14
670,BO,1980,,f,0-14
671,BO,1981,,f,0-14
672,BO,1982,,f,0-14
673,BO,1983,,f,0-14
674,BO,1984,,f,0-14
675,BO,1985,,f,0-14
676,BO,1986,,f,0-14
677,BO,1987,,f,0-14
678,BO,1988,,f,0-14
679,BO,1989,,f,0-14
680,BO,1990,,f,0-14
681,BO,1991,,f,0-14
682,BO,1992,,f,0-14
683,BO,1993,,f,0-14
684,BO,1994,,f,0-14
685,BO,1995,,f,0-14
686,BO,1996,172.0,f,0-14
687,BO,1997,202.0,f,0-14
688,BO,1998,202.0,f,0-14
689,BO,1999,225.0,f,0-14
690,BO,2000,191.0,f,0-14
691,BO,2001,241.0,f,0-14
692,BO,2002,281.0,f,0-14
693,BO,2003,167.0,f,0-14
694,BO,2004,151.0,f,0-14
695,BO,2005,160.0,f,0-14
696,BO,2006,179.0,f,0-14
697,BO,2007,125.0,f,0-14
698,BO,2008,147.0,f,0-14
699,BR,1980,,f,0-14
700,BR,1981,,f,0-14
701,BR,1982,,f,0-14
702,BR,1983,,f,0-14
703,BR,1984,,f,0-14
704,BR,1985,,f,0-14
705,BR,1986,,f,0-14
706,BR,1987,,f,0-14
707,BR,1988,,f,0-14
708,BR,1989,,f,0-14
709,BR,1990,,f,0-14
710,BR,1991,,f,0-14
711,BR,1992,,f,0-14
712,BR,1994,,f,0-14
713,BR,1995,,f,0-14
714,BR,1996,,f,0-14
715,BR,1997,,f,0-14
716,BR,1998,,f,0-14
717,BR,1999,372.0,f,0-14
718,BR,2000,1859.0,f,0-14
719,BR,2001,516.0,f,0-14
720,BR,2002,380.0,f,0-14
721,BR,2003,401.0,f,0-14
722,BR,2004,375.0,f,0-14
723,BR,2005,355.0,f,0-14
724,BR,2006,343.0,f,0-14
725,BR,2007,344.0,f,0-14
726,BR,2008,356.0,f,0-14
727,BS,1980,,f,0-14
728,BS,1981,,f,0-14
729,BS,1982,,f,0-14
730,BS,1983,,f,0-14
731,BS,1984,,f,0-14
732,BS,1985,,f,0-14
733,BS,1986,,f,0-14
734,BS,1987,,f,0-14
735,BS,1988,,f,0-14
736,BS,1989,,f,0-14
737,BS,1990,,f,0-14
738,BS,1991,,f,0-14
739,BS,1992,,f,0-14
740,BS,1993,,f,0-14
741,BS,1994,,f,0-14
742,BS,1995,0.0,f,0-14
743,BS,1996,0.0,f,0-14
744,BS,1997,0.0,f,0-14
745,BS,1998,1.0,f,0-14
746,BS,1999,0.0,f,0-14
747,BS,2000,2.0,f,0-14
748,BS,2001,,f,0-14
749,BS,2002,4.0,f,0-14
750,BS,2003,2.0,f,0-14
751,BS,2004,0.0,f,0-14
752,BS,2006,,f,0-14
753,BS,2007,0.0,f,0-14
754,BS,2008,0.0,f,0-14
755,BT,1980,,f,0-14
756,BT,1981,,f,0-14
757,BT,1982,,f,0-14
758,BT,1983,,f,0-14
759,BT,1984,,f,0-14
760,BT,1985,,f,0-14
761,BT,1986,,f,0-14
762,BT,1987,,f,0-14
763,BT,1988,,f,0-14
764,BT,1989,,f,0-14
765,BT,1990,,f,0-14
766,BT,1991,,f,0-14
767,BT,1992,,f,0-14
768,BT,1993,,f,0-14
769,BT,1994,,f,0-14
770,BT,1995,12.0,f,0-14
771,BT,1996,8.0,f,0-14
772,BT,1997,4.0,f,0-14
773,BT,1998,7.0,f,0-14
774,BT,1999,9.0,f,0-14
775,BT,2000,7.0,f,0-14
776,BT,2001,6.0,f,0-14
777,BT,2002,6.0,f,0-14
778,BT,2003,14.0,f,0-14
779,BT,2004,8.0,f,0-14
780,BT,2005,9.0,f,0-14
781,BT,2006,5.0,f,0-14
782,BT,2007,3.0,f,0-14
783,BT,2008,9.0,f,0-14
784,BW,1980,,f,0-14
785,BW,1981,,f,0-14
786,BW,1982,,f,0-14
787,BW,1983,,f,0-14
788,BW,1984,,f,0-14
789,BW,1985,,f,0-14
790,BW,1986,,f,0-14
791,BW,1987,,f,0-14
792,BW,1988,,f,0-14
793,BW,1989,,f,0-14
794,BW,1990,,f,0-14
795,BW,1991,,f,0-14
796,BW,1992,,f,0-14
797,BW,1993,,f,0-14
798,BW,1994,,f,0-14
799,BW,1995,,f,0-14
800,BW,1996,,f,0-14
801,BW,1997,28.0,f,0-14
802,BW,1998,,f,0-14
803,BW,1999,46.0,f,0-14
804,BW,2000,37.0,f,0-14
805,BW,2001,33.0,f,0-14
806,BW,2002,45.0,f,0-14
807,BW,2003,32.0,f,0-14
808,BW,2004,49.0,f,0-14
809,BW,2005,45.0,f,0-14
810,BW,2006,54.0,f,0-14
811,BW,2007,46.0,f,0-14
812,BW,2008,42.0,f,0-14
813,BY,1980,,f,0-14
814,BY,1981,,f,0-14
815,BY,1982,,f,0-14
816,BY,1983,,f,0-14
817,BY,1984,,f,0-14
818,BY,1985,,f,0-14
819,BY,1986,,f,0-14
820,BY,1987,,f,0-14
821,BY,1988,,f,0-14
822,BY,1989,,f,0-14
823,BY,1990,,f,0-14
824,BY,1991,,f,0-14
825,BY,1992,,f,0-14
826,BY,1993,,f,0-14
827,BY,1994,,f,0-14
828,BY,1995,,f,0-14
829,BY,1996,,f,0-14
830,BY,1997,,f,0-14
831,BY,1998,,f,0-14
832,BY,1999,,f,0-14
833,BY,2000,,f,0-14
834,BY,2001,4.0,f,0-14
835,BY,2002,0.0,f,0-14
836,BY,2003,0.0,f,0-14
837,BY,2004,1.0,f,0-14
838,BY,2005,,f,0-14
839,BY,2006,1.0,f,0-14
840,BY,2007,,f,0-14
841,BY,2008,,f,0-14
842,BZ,1980,,f,0-14
843,BZ,1981,,f,0-14
844,BZ,1982,,f,0-14
845,BZ,1983,,f,0-14
846,BZ,1984,,f,0-14
847,BZ,1985,,f,0-14
848,BZ,1986,,f,0-14
849,BZ,1987,,f,0-14
850,BZ,1988,,f,0-14
851,BZ,1989,,f,0-14
852,BZ,1990,,f,0-14
853,BZ,1991,,f,0-14
854,BZ,1992,,f,0-14
855,BZ,1993,,f,0-14
856,BZ,1994,,f,0-14
857,BZ,1995,0.0,f,0-14
858,BZ,1996,0.0,f,0-14
859,BZ,1997,2.0,f,0-14
860,BZ,1998,,f,0-14
