playerID,yearID,lgID,teamID,stint,G,AB,H,HR
kniznan01,2019,NL,SLN,1,18,53,12,2
krameke01,2019,NL,PIT,1,22,42,7,0
kuhnejo01,2019,NL,CIN,1,11,1,0,0
lavarry01,2019,NL,CIN,1,5,18,5,2
leonedo01,2019,NL,SLN,1,40,0,0,0
lestejo01,2019,NL,CHN,1,32,48,9,1
liriafr01,2019,NL,PIT,1,69,1,1,0
lorenmi01,2019,NL,CIN,1,105,48,10,1
lucrojo01,2019,AL,LAA,1,74,240,58,7
lucrojo01,2019,NL,CHN,2,27,53,10,1
lylesjo01,2019,NL,PIT,1,17,25,2,0
lylesjo01,2019,NL,MIL,2,11,20,2,0
lyonsty01,2019,NL,PIT,1,3,1,0,0
lyonsty01,2019,AL,NYA,2,11,0,0,0
mahlety01,2019,NL,CIN,1,27,34,3,0
maldoma01,2019,AL,KCA,1,74,238,54,6
maldoma01,2019,NL,CHN,2,4,11,0,0
maldoma01,2019,AL,HOU,3,27,84,17,6
mapledi01,2019,NL,CHN,1,14,0,0,0
markepa01,2019,AL,SEA,1,5,0,0,0
markepa01,2019,NL,PIT,2,15,3,0,0
martest01,2019,NL,PIT,1,132,539,159,23
martica04,2019,NL,SLN,1,48,1,0,0
martija03,2019,NL,PIT,1,20,36,9,0
martijo08,2019,NL,SLN,1,128,334,90,10
marveja01,2019,NL,PIT,1,4,4,0,0
mayermi01,2019,NL,SLN,1,16,1,0,0
mcraeal01,2019,NL,PIT,1,11,6,2,0
mejiaad01,2019,AL,MIN,1,13,0,0,0
mejiaad01,2019,AL,LAA,2,20,0,0,0
mejiaad01,2019,NL,SLN,3,2,0,0,0
mellake01,2019,NL,CIN,1,2,1,0,0
mikolmi01,2019,NL,SLN,1,32,59,8,0
millean01,2019,NL,SLN,1,73,0,0,0
millsal02,2019,NL,CHN,1,9,12,1,0
molinya01,2019,NL,SLN,1,113,419,113,10
montgmi01,2019,NL,CHN,1,20,5,1,0
montgmi01,2019,AL,KCA,2,13,1,0,0
moranco01,2019,NL,PIT,1,149,466,129,13
moustmi01,2019,NL,MIL,1,143,523,133,35
munozya01,2019,NL,SLN,1,88,172,46,2
musgrjo01,2019,NL,PIT,1,46,51,8,0
nelsoji02,2019,NL,MIL,1,10,3,0,0
neverdo01,2019,NL,PIT,1,10,0,0,0
newmake01,2019,NL,PIT,1,130,493,152,12
norwoja01,2019,NL,CHN,1,9,1,0,0
nottija01,2019,NL,MIL,1,9,6,2,1
ogradbr01,2019,NL,CIN,1,28,42,8,2
oneilty01,2019,NL,SLN,1,60,141,37,5
osunajo01,2019,NL,PIT,1,95,261,69,10
ozunama01,2019,NL,SLN,1,130,485,117,29
peralfr01,2019,NL,MIL,1,40,15,2,0
peralwa01,2019,NL,CIN,1,39,0,0,0
peralwa01,2019,NL,SFN,2,8,0,0,0
perazjo01,2019,NL,CIN,1,141,376,90,6
perezhe01,2019,NL,MIL,1,91,232,53,8
petrija01,2019,NL,MIL,1,6,0,0,0
phelpda01,2019,AL,TOR,1,17,0,0,0
phelpda01,2019,NL,CHN,2,24,0,0,0
pinama01,2019,NL,MIL,1,76,158,36,7
polangr01,2019,NL,PIT,1,42,153,37,6
pomerdr01,2019,NL,SFN,1,21,17,0,0
pomerdr01,2019,NL,MIL,2,25,2,0,0
ponceda01,2019,NL,SLN,1,13,9,0,0
puigya01,2019,NL,CIN,1,100,373,94,22
puigya01,2019,AL,CLE,2,49,182,54,2
quintjo01,2019,NL,CHN,1,32,54,5,0
ramirye01,2019,AL,BAL,1,5,0,0,0
ramirye01,2019,NL,PIT,2,9,2,0,0
ravelra01,2019,NL,SLN,1,29,39,8,2
reedco01,2019,NL,CIN,1,3,1,0,0
reyesal02,2019,NL,SLN,1,4,0,0,0
reyespa01,2019,NL,PIT,1,71,143,29,2
reynobr01,2019,NL,PIT,1,134,491,154,16
riosya01,2019,NL,PHI,1,4,0,0,0
riosya01,2019,NL,PIT,2,10,0,0,0
riverfe01,2019,NL,PIT,1,56,2,0,0
rizzoan01,2019,NL,CHN,1,146,512,150,27
roarkta01,2019,NL,CIN,1,21,33,5,1
roarkta01,2019,AL,OAK,2,10,0,0,0
robindr01,2019,NL,SLN,1,5,7,1,0
rodriri05,2019,NL,PIT,1,72,0,0,0
romansa01,2019,NL,CIN,1,12,2,0,0
rosarra01,2019,NL,CHN,1,13,1,0,0
rosarra01,2019,AL,KCA,2,6,0,0,0
russead02,2019,NL,CHN,1,82,215,51,9
ryanky01,2019,NL,CHN,1,73,2,0,0
saladty01,2019,NL,MIL,1,28,65,8,2
schebsc01,2019,NL,CIN,1,30,81,10,2
schwaky01,2019,NL,CHN,1,155,529,132,38
senzeni01,2019,NL,CIN,1,104,375,96,12
shawtr01,2019,NL,MIL,1,86,230,36,7
shrevch01,2019,NL,SLN,1,3,0,0,0
shuckja01,2019,NL,PIT,1,27,47,10,0
simslu01,2019,NL,CIN,1,24,8,1,0
smithbu03,2019,NL,MIL,1,7,1,0,0
smithbu03,2019,NL,SFN,2,10,0,0,0
sosaed01,2019,NL,SLN,1,8,8,2,0
spangco01,2019,NL,MIL,1,32,95,22,2
stallja01,2019,NL,PIT,1,71,191,50,6
stephro01,2019,NL,CIN,1,57,1,0,0
stratch01,2019,AL,LAA,1,7,2,0,0
stratch01,2019,NL,PIT,2,28,2,0,0
stroppe01,2019,NL,CHN,1,50,0,0,0
suareeu01,2019,NL,CIN,1,159,575,156,49
suterbr01,2019,NL,MIL,1,9,2,0,0
taillja01,2019,NL,PIT,1,7,8,2,0
tayloty01,2019,NL,MIL,1,15,10,4,0
thameer01,2019,NL,MIL,1,149,396,98,25
thomala02,2019,NL,SLN,1,34,38,12,4
tuckeco01,2019,NL,PIT,1,56,147,31,2
underdu01,2019,NL,CHN,1,12,1,0,0
vanmejo01,2019,NL,CIN,1,95,228,54,8
vottojo01,2019,NL,CIN,1,142,525,137,15
wachami01,2019,NL,SLN,1,29,36,6,0
wainwad01,2019,NL,SLN,1,31,50,8,0
wangwe01,2019,AL,OAK,1,20,0,0,0
wangwe01,2019,NL,PIT,2,5,0,0,0
webbty01,2019,NL,SLN,1,65,0,0,0
webstal01,2019,NL,CHN,1,12,0,0,0
wickro01,2019,NL,CHN,1,31,0,0,0
wieckbr01,2019,NL,SDN,1,30,2,0,0
wieckbr01,2019,NL,CHN,2,14,0,0,0
wietema01,2019,NL,SLN,1,67,168,36,11
wilkeaa01,2019,NL,MIL,1,8,3,1,1
willide03,2019,NL,MIL,1,13,1,0,0
willita01,2019,NL,MIL,1,12,1,0,0
willitr01,2019,NL,PIT,1,26,36,6,0
wilsoal01,2019,NL,MIL,1,13,0,0,0
winkeje01,2019,NL,CIN,1,113,338,91,16
wongko01,2019,NL,SLN,1,148,478,136,11
woodal02,2019,NL,CIN,1,7,9,2,0
woodrbr01,2019,NL,MIL,1,27,45,12,0
yelicch01,2019,NL,MIL,1,130,489,161,44
zagunma01,2019,NL,CHN,1,30,36,9,0
zobribe01,2019,NL,CHN,1,47,150,39,1
